urn,data_pubblicazione
urn:nir:stato:legge:1999;133,1999-05-17
urn:nir:stato:legge:1999;28,1999-02-22
urn:nir:stato:legge:1999;488,1999-12-27
urn:nir:stato:legge:2000;193,2000-07-13
urn:nir:stato:legge:2000;342,2000-11-25
urn:nir:stato:legge:2000;383,2000-12-27
urn:nir:stato:legge:2000;388,2000-12-29
urn:nir:stato:legge:2000;62,2000-03-21
urn:nir:stato:legge:2001;448,2001-12-29
urn:nir:stato:legge:2001;52,2001-03-15
urn:nir:stato:legge:2002;289,2002-12-31
urn:nir:stato:legge:2003;350,2003-12-27
urn:nir:stato:legge:2004;206,2004-08-11
urn:nir:stato:legge:2005;266,2005-12-29
urn:nir:stato:legge:2006;296,2006-12-27
urn:nir:stato:legge:2007;244,2007-12-28
urn:nir:stato:legge:2008;203,2008-12-30
urn:nir:stato:legge:2009;191,2009-12-30
urn:nir:stato:legge:2011;183,2011-11-14
urn:nir:stato:legge:2013;147,2013-12-27
urn:nir:stato:legge:2014;190,2014-12-29
urn:nir:stato:legge:2015;147,2015-09-22
urn:nir:stato:legge:2015;208,2015-12-30
urn:nir:stato:legge:2015;221,2016-01-18
urn:nir:stato:legge:2016;112,2016-06-24
urn:nir:stato:legge:2016;220,2016-11-26
urn:nir:stato:legge:2016;232,2016-12-21
urn:nir:stato:legge:2017;205,2017-12-29
urn:nir:stato:legge:2018;145,2018-12-31
urn:nir:stato:legge:2019;160,2019-12-30
urn:nir:stato:legge:2020;104,2020-08-14
urn:nir:stato:legge:2020;178,2020-12-30
